nomor_penerimaan;id_student;tanggal;metode_pembayaran;jumlah;nomor_invoice
110103.2025.04.00004;A12;30-Apr-25;Kas Sementara;1659000;SI.2025.05.00199
110103.2025.04.00003;A13;30-Apr-25;Kas Sementara;284400;SI.2025.05.00198
110103.2025.04.00002;A14;30-Apr-25;Kas Sementara;4950450;SI.2025.05.00197
110103.2025.04.00001;A15;30-Apr-25;Kas Sementara;2135175;SI.2025.05.00196
110101.2025.04.00027;A58;09-Apr-25;BCA 1111;297000;SI.2025.05.00153
110101.2025.04.00003;A186;05-Apr-25;BCA 1111;99000;KSDK.2500326.25.0 5.0123.01
110101.2025.04.00002;A218;03-Apr-25;BCA 1111;283067;KSDK.2500283.25.0 5.0080.01
110101.2025.04.00001;A219;01-Apr-25;BCA 1111;313000;KSDK.2500281.25.0 5.0078.01
110101.2025.03.00063;A220;31-Mar-25;BCA 1111;99000;KSDK.2500279.25.0 5.0076.01
110101.2025.03.00065;A221;30-Mar-25;BCA 1111;549900;KSDK.2500278.25.0 5.0075.01
110101.2025.03.00062;A222;30-Mar-25;BCA 1111;399800;KSDK.2500277.25.0 5.0074.01
110101.2025.03.00061;A223;29-Mar-25;BCA 1111;349900;KSDK.2500275.25.0 5.0072.01
110101.2025.03.00057;A226;26-Mar-25;BCA 1111;388075;KSDK.2500270.25.0 5.0067.01
110101.2025.03.00056;A227;26-Mar-25;BCA 1111;295000;KSDK.2500269.25.0 5.0066.01
110101.2025.03.00055;A228;26-Mar-25;BCA 1111;239000;KSDK.2500262.25.0 5.0059.01
110101.2025.03.00054;A229;26-Mar-25;BCA 1111;395000;KSDK.2500260.25.0 5.0057.01
110101.2025.03.00040;A233;25-Mar-25;BCA 1111;279920;KSDK.2500253.25.0 5.0050.01
110101.2025.03.00066;A234;24-Mar-25;BCA 1111;119760;KSDK.2500252.25.0 5.0049.01
110101.2025.03.00039;A236;24-Mar-25;BCA 1111;229800;KSDK.2500250.25.0 5.0047.01
110101.2025.03.00067;A238;20-Mar-25;BCA 1111;99000;KSDK.2500245.25.0 5.0042.01
110101.2025.03.00035;A239;20-Mar-25;BCA 1111;100000;KSDK.2500244.25.0 5.0041.01
110101.2025.03.00034;A243;17-Mar-25;BCA 1111;3148740;KSDK.2500236.25.0 5.0033.01
110101.2025.03.00008;A246;10-Mar-25;BCA 1111;200000;KSDK.2500233.25.0 5.0030.01
110101.2025.03.00007;A250;07-Mar-25;BCA 1111;99000;KSDK.2500229.25.0 5.0026.01
110101.2025.03.00005;A352;05-Mar-25;BCA 1111;299900;SI.2025.04.00172
110101.2025.03.00004;A353;05-Mar-25;BCA 1111;359920;SI.2025.04.00171
110101.2025.03.00003;A369;02-Mar-25;BCA 1111;200280;SI.2025.04.00155
110101.2025.03.00002;A373;01-Mar-25;BCA 1111;99900;SI.2025.04.00151
110101.2025.02.00109;A374;28-Feb-25;BCA 1111;99000;SI.2025.04.00150
110101.2025.02.00072;A378;28-Feb-25;BCA 1111;99000;SI.2025.04.00146
110101.2025.02.00071;A379;28-Feb-25;BCA 1111;297000;SI.2025.04.00145
110101.2025.02.00070;A380;28-Feb-25;BCA 1111;359920;SI.2025.04.00144
110101.2025.02.00069;A381;28-Feb-25;BCA 1111;407000;SI.2025.04.00143
110101.2025.02.00068;A382;28-Feb-25;BCA 1111;279920;SI.2025.04.00142
110101.2025.02.00067;A383;28-Feb-25;BCA 1111;359920;SI.2025.04.00141
110101.2025.02.00066;A385;27-Feb-25;BCA 1111;279920;SI.2025.04.00139
110101.2025.02.00065;A399;26-Feb-25;BCA 1111;359920;SI.2025.04.00125
110101.2025.02.00064;A400;26-Feb-25;BCA 1111;495000;SI.2025.04.00124
110101.2025.02.00063;A401;26-Feb-25;BCA 1111;359920;SI.2025.04.00089
110101.2025.02.00062;A402;26-Feb-25;BCA 1111;283067;SI.2025.04.00088
110101.2025.02.00061;A403;26-Feb-25;BCA 1111;279920;SI.2025.04.00087
110101.2025.02.00060;A404;26-Feb-25;BCA 1111;295000;SI.2025.04.00086
110101.2025.02.00059;A405;26-Feb-25;BCA 1111;349900;SI.2025.04.00085
110101.2025.02.00058;A425;25-Feb-25;BCA 1111;234800;SI.2025.04.00065
110101.2025.02.00057;A426;25-Feb-25;BCA 1111;359920;SI.2025.04.00064
110101.2025.02.00056;A427;25-Feb-25;BCA 1111;549900;SI.2025.04.00063
110101.2025.02.00055;A428;25-Feb-25;BCA 1111;359920;SI.2025.04.00062
110101.2025.02.00054;A429;25-Feb-25;BCA 1111;359920;SI.2025.04.00061
110101.2025.02.00053;A430;25-Feb-25;BCA 1111;299900;SI.2025.04.00060
110101.2025.02.00052;A431;25-Feb-25;BCA 1111;299900;SI.2025.04.00059
110101.2025.02.00051;A432;25-Feb-25;BCA 1111;395000;SI.2025.04.00058
110101.2025.02.00050;A433;25-Feb-25;BCA 1111;549900;SI.2025.04.00057
110101.2025.02.00049;A434;25-Feb-25;BCA 1111;439920;SI.2025.04.00056
110101.2025.02.00048;A435;25-Feb-25;BCA 1111;99000;SI.2025.04.00055
110101.2025.02.00047;A436;25-Feb-25;BCA 1111;99000;SI.2025.04.00054
110101.2025.02.00046;A437;25-Feb-25;BCA 1111;450000;SI.2025.04.00053
110101.2025.02.00045;A438;25-Feb-25;BCA 1111;149900;SI.2025.04.00052
110101.2025.02.00044;A439;25-Feb-25;BCA 1111;249900;SI.2025.04.00051
110101.2025.02.00043;A440;25-Feb-25;BCA 1111;550000;SI.2025.04.00050
110101.2025.02.00042;A441;25-Feb-25;BCA 1111;439920;SI.2025.04.00049
110101.2025.02.00041;A442;25-Feb-25;BCA 1111;349000;SI.2025.04.00048
110101.2025.02.00040;A443;25-Feb-25;BCA 1111;388075;SI.2025.04.00047
110101.2025.02.00039;A444;25-Feb-25;BCA 1111;249900;SI.2025.04.00046
110101.2025.02.00038;A445;25-Feb-25;BCA 1111;449900;SI.2025.04.00045
110101.2025.02.00037;A446;25-Feb-25;BCA 1111;100000;SI.2025.04.00044
110101.2025.02.00036;A447;25-Feb-25;BCA 1111;404920;SI.2025.04.00043
110101.2025.02.00035;A448;25-Feb-25;BCA 1111;359840;SI.2025.04.00042
110101.2025.02.00034;A449;25-Feb-25;BCA 1111;239920;SI.2025.04.00040
110101.2025.02.00033;A450;25-Feb-25;BCA 1111;349900;SI.2025.04.00039
110101.2025.02.00032;A451;25-Feb-25;BCA 1111;449900;SI.2025.04.00038
110101.2025.02.00031;A456;24-Feb-25;BCA 1111;159920;SI.2025.04.00033
110101.2025.02.00030;A457;24-Feb-25;BCA 1111;198000;SI.2025.04.00032
110101.2025.02.00029;A458;24-Feb-25;BCA 1111;499800;SI.2025.04.00031
110101.2025.02.00028;A459;24-Feb-25;BCA 1111;239000;SI.2025.04.00030
110101.2025.02.00027;A460;24-Feb-25;BCA 1111;299900;SI.2025.04.00029
110101.2025.02.00026;A461;24-Feb-25;BCA 1111;359920;SI.2025.04.00028
110101.2025.02.00025;A462;24-Feb-25;BCA 1111;399800;SI.2025.04.00027
110101.2025.02.00024;A463;24-Feb-25;BCA 1111;439920;SI.2025.04.00026
110101.2025.02.00023;A464;24-Feb-25;BCA 1111;399900;SI.2025.04.00025
110101.2025.02.00022;A466;23-Feb-25;BCA 1111;449900;SI.2025.04.00023
110101.2025.02.00021;A473;22-Feb-25;BCA 1111;199400;SI.2025.04.00016
110101.2025.02.00020;A477;21-Feb-25;BCA 1111;349900;SI.2025.04.00012
110101.2025.02.00019;A478;20-Feb-25;BCA 1111;500000;SI.2025.04.00011
110101.2025.02.00018;A480;19-Feb-25;BCA 1111;199900;SI.2025.04.00009
110101.2025.02.00017;A484;12-Feb-25;BCA 1111;99000;SI.2025.04.00005
110101.2025.02.00016;A485;11-Feb-25;BCA 1111;47000;SI.2025.04.00004
110101.2025.02.00073;A486;07-Feb-25;BCA 1111;230958;SI.2025.04.00003
110101.2025.02.00015;A487;07-Feb-25;BCA 1111;494910;SI.2025.04.00123
110101.2025.02.00014;A489;06-Feb-25;BCA 1111;314930;SI.2025.04.00121
110103.2025.02.00005;A493;05-Feb-25;Kas Sementara;99000;SI.2025.04.00117
110103.2025.02.00004;A494;05-Feb-25;Kas Sementara;99000;SI.2025.04.00116
110101.2025.02.00013;A495;04-Feb-25;BCA 1111;199400;SI.2025.04.00115
110101.2025.02.00012;A496;04-Feb-25;BCA 1111;200280;SI.2025.04.00114
110101.2025.02.00010;A498;03-Feb-25;BCA 1111;359920;SI.2025.04.00112
110101.2025.02.00009;A499;03-Feb-25;BCA 1111;279920;SI.2025.04.00111
110101.2025.02.00008;A500;03-Feb-25;BCA 1111;279920;SI.2025.04.00110
110101.2025.02.00007;A502;02-Feb-25;BCA 1111;409860;SI.2025.04.00108
110101.2025.02.00006;A505;01-Feb-25;BCA 1111;99000;SI.2025.04.00105
110101.2025.02.00005;A506;01-Feb-25;BCA 1111;230958;SI.2025.04.00104
110101.2025.02.00004;A507;01-Feb-25;BCA 1111;276500;SI.2025.04.00103
110101.2025.02.00003;A508;01-Feb-25;BCA 1111;146958;SI.2025.04.00102
110101.2025.02.00002;A509;01-Feb-25;BCA 1111;553000;SI.2025.04.00101
